GeneID	Length	logFC	AveExpr	t	P.Value	adj.P.Val	B
DNM3	DNM3	8363	7.61448735775949	7.89887848285921	24.141748480259	4.11806617572005e-12	7.70165993288921e-11	15.6497691519961
CDK18	CDK18	3158	1.79000387371471	10.149254810815	24.1191685481762	4.16701209746928e-12	7.71116554458e-11	18.2734519384916
S100A10	S100A10	671	-3.43289205568413	9.06658050675082	-23.8892732546456	4.70255561521593e-12	8.58623230427394e-11	18.0909282587682
NMNAT2	NMNAT2	5646	6.51681443858185	8.4240526680961	23.8752372966721	4.73756845002601e-12	8.58623230427394e-11	16.5259192635777
SRM	SRM	1260	-2.04464683676264	9.82425641801127	-23.818320614397	4.88244939962863e-12	8.75851637198687e-11	18.135147151041
RCC1	RCC1	3138	-4.2444954807421	8.31796695890545	-23.6410631949439	5.36504104161541e-12	9.47873348075257e-11	17.5137881722381
CAMSAP2	CAMSAP2	7371	1.86483958720932	10.0937860777414	23.6317521219545	5.39177103569543e-12	9.47873348075257e-11	18.0196384911736
HPCAL4	HPCAL4	4758	8.04759336469689	7.85109636400172	23.5193230847796	5.72608812826402e-12	9.96679497969123e-11	15.2140056602792
SLC2A1	SLC2A1	3362	-1.16344339438384	11.2408580124414	-23.4719254394663	5.87365301913389e-12	1.00483141400468e-10	17.6197429361085
RYR2	RYR2	16583	3.92845182790812	8.68000101677045	23.4676266639137	5.88723752232546e-12	1.00483141400468e-10	17.576427493814
PGBD5	PGBD5	10914	3.81280130828872	8.77696969997636	23.3537095756386	6.25982831021096e-12	1.05815174705297e-10	17.5886835401938
TTLL7	TTLL7	8005	3.62440051087238	9.10863020172243	23.2224306523864	6.72093676084161e-12	1.12527684052948e-10	17.6777032955387
NES	NES	5568	-1.66513637466599	10.057296036474	-23.1513515828515	6.98573704437172e-12	1.15857789849108e-10	17.729440499811
ERRFI1	ERRFI1	3097	-1.73881198051901	9.9323907987618	-23.0327183973015	7.45302659757383e-12	1.22452530453596e-10	17.6832774665403
TPR	TPR	9636	-1.34924107717184	10.7536964507173	-22.8074699795582	8.43544227744087e-12	1.37310254849454e-10	17.377133115022
KCNA2	KCNA2	11875	7.62127719519642	7.74919149283062	22.650848948029	9.20023480487827e-12	1.48385438412624e-10	15.0554588730396
MEF2D	MEF2D	6088	1.87623956993332	10.247154466797	22.5959276090544	9.48581680864135e-12	1.51600599541741e-10	17.4197493358953
QSOX1	QSOX1	9312	-1.48241684942639	10.4124420022007	-22.5727196117152	9.60934810889657e-12	1.52191297076038e-10	17.3266159755658
KAZN	KAZN	9663	2.72405852536253	9.34574044083335	22.4998493428184	1.00086014224388e-11	1.56104890794525e-10	17.421203884528
PHGDH	PHGDH	1866	-1.4608439140065	10.6630913383116	-22.4953117850126	1.00340458815593e-11	1.56104890794525e-10	17.2224299859759
NEGR1	NEGR1	12613	5.2721373260467	8.26048932447032	22.456772223673	1.02529840031406e-11	1.58111805943169e-10	16.375725413427
WDR47	WDR47	4376	3.15456395306406	9.07375785145064	22.4136329944866	1.05041640087411e-11	1.60102652369043e-10	17.3076142357481
CTPS1	CTPS1	2994	-2.62348747242902	9.06065562254686	-22.3949681357494	1.06148855001416e-11	1.60102652369043e-10	17.3607014919036
CENPF	CENPF	10290	-6.38038412456411	8.09732601461321	-22.3882080610042	1.06552959767793e-11	1.60102652369043e-10	15.985302091949
KIRREL1	KIRREL1	7820	-3.75650495539508	8.32505482725688	-22.3233826482912	1.10513218930503e-11	1.64645965152393e-10	17.0061606064436
CD46	CD46	3393	-1.49195319316586	10.2395881707828	-22.2839346976614	1.1300042143182e-11	1.66936757039613e-10	17.1939418454991
AK5	AK5	3805	6.15769531409185	8.40405808302026	22.1547657646256	1.21575059595473e-11	1.78107462307368e-10	16.0213610402766
HDAC1	HDAC1	2118	-3.45915784305324	9.19164503158944	-22.1000491354123	1.25416097742319e-11	1.82216115562807e-10	17.1778062416127
PPP1R12B	PPP1R12B	16338	2.27634111668919	9.35929909688382	22.0802280195595	1.26839554159077e-11	1.82773718206277e-10	17.1981942404264
PADI2	PADI2	4361	6.22432143074201	7.90532422246222	21.9971653599113	1.3299653917458e-11	1.90087736478789e-10	15.5109426466379
GPR37L1	GPR37L1	6529	3.7905581905974	8.5928003582519	21.9331978205095	1.37957102702995e-11	1.95587569799891e-10	16.8128425361104
ASH1L	ASH1L	12052	1.48292099085101	10.2894988797837	21.715590487139	1.56378948201314e-11	2.19931352750329e-10	16.8733712797973
PRDX6	PRDX6	1690	-1.4831544159349	10.8251381216096	-21.612013041115	1.66062074432098e-11	2.31696132421928e-10	16.6533665231659
CCN1	CCN1	2278	-2.44321030726852	9.29377682781248	-21.423357239795	1.85396433892045e-11	2.56635378568674e-10	16.8212293538972
CERS2	CERS2	2544	-1.11872404538437	10.8619305571442	-21.3586646768037	1.92572972506345e-11	2.62636642876069e-10	16.4703990207377
PSMB4	PSMB4	918	-1.11981831046608	10.8368613777882	-21.3539703995192	1.93105225841459e-11	2.62636642876069e-10	16.4743058408597
CNTN2	CNTN2	8010	9.89746014901433	7.64353978555552	21.3442388242336	1.94213672206422e-11	2.62636642876069e-10	13.5289079680706
APOA2	APOA2	474	-10.5575407444192	6.29272737539993	-21.2866207437473	2.0091828833428e-11	2.69629275489819e-10	12.9607755073798
CHI3L1	CHI3L1	1747	3.62055944750932	8.6629364211292	21.2373276937266	2.06851904410591e-11	2.73590292808609e-10	16.5048890956939
CHD5	CHD5	9850	6.71283886201855	8.04818930261098	21.2362606313951	2.06982417198777e-11	2.73590292808609e-10	15.1417903523212
SLC39A1	SLC39A1	3092	-1.98867805722765	9.66831261789594	-21.1651466668654	2.15883251127484e-11	2.83225936926952e-10	16.6359058933037
MOV10	MOV10	4592	-2.96704007252263	8.67185058125117	-21.1243223613722	2.21178247576364e-11	2.88023229066109e-10	16.578751446424
ASTN1	ASTN1	7729	5.32666247196396	8.16105757739867	21.0821262074171	2.26798291660086e-11	2.93170144660611e-10	15.6634184632816
RHOC	RHOC	1621	-1.48829322250992	10.0920667091707	-21.029186361773	2.3406744940622e-11	3.00358084712506e-10	16.4660912294031
EDARADD	EDARADD	3315	-2.50150658438074	9.60659391951331	-20.9980862029101	2.38454338785872e-11	3.03770092453307e-10	16.5552659535106
KCNJ10	KCNJ10	5205	5.78471605372727	8.05850644060041	20.9108551429354	2.51237557864158e-11	3.15553551408221e-10	15.3410753026464
DHX9	DHX9	4630	-1.09249495193042	10.9981986166178	-20.9104802043812	2.51294068243179e-11	3.15553551408221e-10	16.1504066903756
GNG12	GNG12	4395	-2.41038158221917	9.05619904146558	-20.8430358470431	2.61685088074554e-11	3.25660699360788e-10	16.4771421771903
NRAS	NRAS	4326	-2.07075513767351	9.34523333389475	-20.8344045847124	2.63047891406325e-11	3.25660699360788e-10	16.4647179744004
GAS5	GAS5	850	-2.89647429992982	8.52688780598156	-20.6842584493376	2.88017472723819e-11	3.54080221712219e-10	16.3036797758239
NOTCH2	NOTCH2	11825	-1.62066011547665	10.0466362040481	-20.64433844716	2.95077115512268e-11	3.59446814428305e-10	16.2395709707056
FBXO2	FBXO2	1287	3.06146571781805	9.34878383980253	20.6365720694434	2.96472059682049e-11	3.59446814428305e-10	16.348358884853
ERICH3	ERICH3	7201	8.82950730685808	4.92659701990789	20.5849904533184	3.05918684960046e-11	3.68359622027233e-10	12.7199056337777
KCNJ9	KCNJ9	4202	10.0184318929066	6.31331775518211	20.5630743380597	3.10029926150775e-11	3.69406030715157e-10	12.7593940891184
CRABP2	CRABP2	1082	-3.93143308411237	8.10179375212746	-20.5579998912357	3.10990287519017e-11	3.69406030715157e-10	15.962708840162
KCNK1	KCNK1	2061	3.33624852285	8.63709116501683	20.5014422995459	3.21913279255764e-11	3.78653460155538e-10	16.1301577093863
TPRG1L	TPRG1L	2401	2.15050790989227	9.74102182887737	20.4955075450293	3.23083157129299e-11	3.78653460155538e-10	16.2408645151969
SYT2	SYT2	7811	5.54266714171585	7.73650591769816	20.4032526387383	3.41868942544908e-11	3.98016954300628e-10	14.9723039833032
PLCH2	PLCH2	6880	5.76421788031618	7.6751327378208	20.3602907675635	3.51015149515601e-11	4.05976732137122e-10	14.8315668569155
ASPM	ASPM	10888	-7.10187654006668	6.75895396618034	-20.29837065428	3.64663358740501e-11	4.19005349454772e-10	13.829636414473
IVNS1ABP	IVNS1ABP	4113	-1.22836635804787	10.4770829866742	-20.215250727403	3.83888732557404e-11	4.38231423270075e-10	15.8508795263634
PLXNA2	PLXNA2	11508	2.96458672897292	9.1761666120386	20.1896828451888	3.90019546622797e-11	4.42357653524437e-10	16.0699197940176
MIR4426	MIR4426	63	-1.69715823669271	9.614822236035	-20.0827341586639	4.16829543672222e-11	4.69734831907542e-10	15.9595504061939
C1orf61	C1orf61	1785	9.30783198488998	5.95827222472282	20.0458028347276	4.2654241963494e-11	4.77618836763201e-10	12.596583800873
KIF2C	KIF2C	3228	-6.23276004720578	7.31371738256993	-20.0084107763147	4.36624870695028e-11	4.85814254861936e-10	14.4633946912484
SHISA4	SHISA4	1661	3.29650877301552	8.59639565497537	19.978075913576	4.44992703565811e-11	4.92010800546349e-10	15.8259509039665
TNR	TNR	12774	9.84551081436924	6.22751602106905	19.8845578291353	4.71893134410546e-11	5.17082507591002e-10	12.5547747501539
KDM5B	KDM5B	10449	-1.53162540006524	9.82148081111683	-19.8789827546068	4.73551101946253e-11	5.17082507591002e-10	15.78810426585
GNL2	GNL2	2606	-2.55681483527025	8.895560056593	-19.8672976442262	4.77046486092365e-11	5.17683779352085e-10	15.8771619890109
SH3BGRL3	SH3BGRL3	751	-1.36165618377225	10.149781750194	-19.8505306288076	4.82110576989878e-11	5.19969567084789e-10	15.69631809438
NDC1	NDC1	4552	-2.7486011046247	8.66708832943259	-19.8344174724641	4.87031685209586e-11	5.22074208901495e-10	15.8337627211886
C1orf21	C1orf21	10293	2.03774923861041	9.46982154060893	19.7214660972553	5.23081884378266e-11	5.57319971355753e-10	15.7719427569592
UBAP2L	UBAP2L	5122	-1.08651600004182	10.9315954134742	-19.6727142773756	5.39519126154289e-11	5.71370255288698e-10	15.3608981356226
EPS15	EPS15	5400	1.55093760292326	10.3340140562784	19.6230133036655	5.56849558149882e-11	5.81412968677564e-10	15.5458466671298
ARL8A	ARL8A	1795	2.00224667874547	9.35464673720968	19.6197610275016	5.58004285343609e-11	5.81412968677564e-10	15.7137758700909
EPRS1	EPRS1	4862	-1.06454629647489	10.6944278206732	-19.6171765929721	5.5892372984362e-11	5.81412968677564e-10	15.3902401331644
KIFAP3	KIFAP3	4573	2.58605014284329	9.40802869558448	19.5951168816215	5.66838359739131e-11	5.8502535128149e-10	15.7053954461075
ZYG11B	ZYG11B	8143	1.78194628374233	9.60350167377959	19.5890063445981	5.69051962850596e-11	5.8502535128149e-10	15.6653971065744
CREG1	CREG1	1969	-1.39515708383358	9.98900178106367	-19.5225499930337	5.93735808757666e-11	6.06853227788358e-10	15.5149683270009
IQGAP3	IQGAP3	6013	-6.15409328217394	6.97864086681482	-19.4775318717065	6.11109560740569e-11	6.21000351319029e-10	14.0227156297675
HPCA	HPCA	1412	7.2258857647033	7.11429989239923	19.464451703479	6.16259459527379e-11	6.22634557384559e-10	13.5330045361249
CDC42BPA	CDC42BPA	10919	1.21999694091183	10.5035694202932	19.4086849506429	6.38745272214509e-11	6.40308902813594e-10	15.3393601300337
IFI16	IFI16	3303	-2.37730826250099	9.03184408421981	-19.4031192892906	6.41037354352631e-11	6.40308902813594e-10	15.5854208616761
SNHG3	SNHG3	2346	-3.57560530289573	8.25020987494815	-19.3152624611206	6.78415119302503e-11	6.73815694764859e-10	15.3706815728262
E2F2	E2F2	5196	-8.41524439549098	4.42960262784011	-19.2872697941241	6.90811302348204e-11	6.8227318512817e-10	12.2667582411295
CAPZA1	CAPZA1	2358	-1.72482608413798	10.0351036589532	-19.2777803167428	6.95068682095636e-11	6.82642873253703e-10	15.3566357836796
MAP7D1	MAP7D1	3375	1.15208606948889	11.3802315710547	19.1621117146745	7.49292160200557e-11	7.31808676462544e-10	14.9096041552978
APH1A	APH1A	2266	-1.39091349112113	10.0758267988315	-19.0990623152925	7.80749263319799e-11	7.5831889774376e-10	15.2102913798486
EXO1	EXO1	3462	-8.92210394683293	4.68608392231328	-19.0755190484683	7.92857233210925e-11	7.65847810980663e-10	12.2313616852217
PGD	PGD	2473	-1.45107729383938	10.3591711566233	-19.0554511510652	8.03337281386755e-11	7.71730568676456e-10	15.1155440929948
F11R	F11R	4639	-2.85219986271296	8.35672200723598	-19.0284433295901	8.1767728480843e-11	7.79550364728019e-10	15.2840186277015
PRDM2	PRDM2	9637	1.68876630353048	9.64060814193647	19.015942763585	8.24407497951327e-11	7.79550364728019e-10	15.2772881987261
KIAA1107	KIAA1107	4271	4.68606279514214	7.83968271826689	19.0152536317922	8.24780249370942e-11	7.79550364728019e-10	14.6443210465566
KHDRBS1	KHDRBS1	3544	-0.950026611747433	10.9963248380959	-18.9910444152509	8.37990686170227e-11	7.87800869672331e-10	14.8703356165103
DLGAP3	DLGAP3	3921	6.13293805912902	7.15313913701047	18.9772554278818	8.45616563754326e-11	7.90741446319205e-10	13.7492808665952
SF3A3	SF3A3	2774	-1.61333880884681	9.65397593762282	-18.9318244400773	8.71274195291802e-11	8.10423299112692e-10	15.191025118876
CCSAP	CCSAP	5217	1.78673823163316	9.51514206909546	18.9133428856665	8.81950231265078e-11	8.1603605608632e-10	15.2278777564775
C1QB	C1QB	1251	8.43100761016959	4.72688941238619	18.901605396025	8.88803457000007e-11	8.18071454139273e-10	12.177350362961
MPZL1	MPZL1	4978	-1.61702963941634	9.62259838156638	-18.8840759020598	8.99145298927373e-11	8.23279914330376e-10	15.1640886911503
RHOU	RHOU	4356	2.4502605749107	8.80393701872283	18.8754646831171	9.0427295908727e-11	8.23684902629751e-10	15.2346589364223
TNFRSF25	TNFRSF25	1916	3.06445776268462	8.43115093155921	18.7713740896721	9.68804053071125e-11	8.77916250154143e-10	15.081779843967
AMIGO1	AMIGO1	5130	4.15748207785458	7.86966299341885	18.7595963586574	9.76411712651392e-11	8.8027271325187e-10	14.6667911821817
IGSF21	IGSF21	1892	5.59405067765674	7.28627835613393	18.7223107134892	1.00092232480555e-10	8.9776604439192e-10	13.8810859681382
PSMA5	PSMA5	3815	-1.60159951922127	9.67886277043012	-18.5417369194288	1.12935801368059e-10	1.00782303961953e-09	14.9176542239004
C1orf115	C1orf115	2891	2.39135404105026	9.06913067505509	18.515632473669	1.14934573445016e-10	1.01790661929271e-09	15.0050712090838
AKT3	AKT3	7576	2.09102218227404	9.76805147554543	18.5118957277454	1.15223786825511e-10	1.01790661929271e-09	14.9323342806508
PGM1	PGM1	3218	-1.3931947302842	9.91938596990615	-18.4993074198664	1.16203856341795e-10	1.02132709330966e-09	14.8299948597342
RNPEP	RNPEP	2701	-2.11001124871241	9.09740857478387	-18.4920507995479	1.16772892921071e-10	1.02132709330966e-09	14.9752012712602
